Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Neutral,14.035669,12.041595,17.720045,16.124515,48.414874,39.623226,15.571185,0.149000ms,
Neutral,13.000000,13.038405,17.720045,14.764823,49.203658,39.623226,15.555909,0.296000ms,
Neutral,13.000000,13.000000,17.464249,17.000000,49.203658,40.792156,15.555909,0.422000ms,
Neutral,12.000000,13.038405,16.763055,17.000000,50.447993,40.792156,17.571505,0.572000ms,
Neutral,14.035669,14.035669,18.027756,17.492856,49.819675,41.436699,17.000000,0.711000ms,
Neutral,11.000000,12.041595,20.880613,17.464249,51.400389,43.737855,17.493612,0.896000ms,
Happy,9.000000,8.062258,18.973666,18.384776,50.606324,42.426407,34.488060,1.052000ms,
Happy,6.082763,7.000000,20.615528,18.384776,50.606324,44.407207,37.026730,1.189000ms,
Happy,5.099020,6.000000,20.615528,18.788294,52.009614,46.389654,37.491229,1.365000ms,
Happy,5.385165,7.071068,20.615528,19.313208,51.613952,46.389654,36.075235,1.514000ms,
Happy,5.099020,5.099020,20.615528,19.313208,52.201533,50.635956,33.532960,1.656000ms,
Happy,6.000000,6.000000,19.646883,18.788294,52.430907,49.497475,33.532960,1.833000ms,
Scared,6.000000,6.082763,21.377558,19.313208,55.470713,52.611786,30.491626,1.954000ms,
Scared,7.000000,7.000000,21.587033,18.973666,56.080300,55.731499,30.000871,2.117000ms,
Scared,7.000000,7.000000,19.235384,15.811388,55.569776,56.885851,29.515445,2.284000ms,
Scared,8.000000,7.000000,21.213203,17.720045,58.591808,59.841457,29.457494,2.419000ms,
Scared,8.000000,7.000000,21.213203,18.027756,59.506302,59.841457,25.468354,2.585000ms,
Scared,9.000000,8.000000,20.099751,16.155494,59.933296,59.033889,19.958712,2.703000ms,
Scared,10.049876,9.055385,19.104973,15.811388,58.600341,58.694122,20.408794,2.870000ms,
Sad,9.000000,9.000000,19.026298,14.866069,58.137767,59.033889,20.390406,2.983000ms,
Scared,10.000000,9.000000,19.104973,15.231546,59.093147,58.855756,21.946644,3.141000ms,
Scared,12.000000,11.045361,18.110770,16.763055,60.008333,58.855756,26.900892,3.289000ms,
Scared,13.000000,11.000000,20.099751,17.720045,60.415230,58.855756,21.395805,3.422000ms,
Scared,14.035669,12.000000,21.023796,16.763055,61.269895,60.827625,17.817873,3.595000ms,
Sad,14.035669,13.038405,20.099751,15.811388,61.269895,60.827625,16.364009,3.715000ms,
Scared,15.033296,15.000000,20.024984,16.155494,60.827625,60.016664,19.424458,3.856000ms,
Scared,15.000000,14.035669,20.024984,16.763055,60.835845,60.671245,19.920125,3.963000ms,
Scared,16.031220,15.000000,20.223748,15.811388,62.609903,59.033889,22.476933,4.099000ms,
Scared,15.033296,16.031220,19.104973,14.866069,61.269895,56.089215,21.927920,4.216000ms,
Scared,17.029386,17.117243,19.026298,15.524175,58.137767,56.885851,21.926156,4.354000ms,
Scared,17.029386,16.031220,19.235384,15.811388,58.180753,55.901699,21.926156,4.467000ms,
Scared,17.000000,16.031220,18.110770,16.155494,59.481089,56.089215,21.938282,4.608000ms,
Scared,17.029386,16.031220,19.104973,15.811388,59.033889,55.731499,24.935941,4.728000ms,
Scared,17.117243,17.029386,20.024984,16.155494,59.059292,54.918121,23.902918,4.864000ms,
Scared,17.029386,17.117243,19.026298,17.464249,58.591808,54.744863,24.383562,4.982000ms,
Scared,18.027756,17.117243,19.104973,16.552945,59.481089,54.918121,24.349491,5.132000ms,
Scared,17.029386,17.117243,19.104973,18.384776,57.706152,55.901699,32.910845,5.251000ms,
Surprised,16.124515,16.031220,20.396078,18.788294,59.169249,54.589376,40.480591,5.396000ms,
Surprised,17.000000,17.029386,19.416488,18.788294,58.591808,53.600373,39.956205,5.520000ms,
Surprised,18.000000,17.000000,20.396078,16.552945,57.801384,51.788030,39.393357,5.680000ms,
Surprised,17.000000,17.029386,18.248288,17.464249,58.180753,53.758720,40.923230,5.827000ms,
Surprised,17.000000,17.000000,19.235384,18.384776,59.539903,53.758720,40.469356,5.954000ms,
Surprised,17.000000,17.029386,19.235384,18.384776,60.415230,53.758720,40.458120,6.119000ms,
Surprised,18.000000,16.124515,19.416488,17.888544,58.668561,52.469038,40.463297,6.238000ms,
Surprised,18.000000,16.124515,20.396078,17.088007,59.169249,53.600373,40.458120,6.381000ms,
Surprised,18.027756,17.029386,19.416488,17.888544,57.306195,52.611786,40.933486,6.498000ms,
Surprised,18.000000,16.124515,19.416488,17.888544,57.801384,52.469038,40.486022,6.662000ms,
Surprised,18.027756,17.029386,19.646883,18.357560,58.309519,51.623638,40.933486,6.777000ms,
Surprised,18.000000,17.029386,19.235384,17.464249,58.309519,51.788030,40.458120,6.910000ms,
